,Domain,Division,Class,Order,Family,Genus,Cell shape,Cell motility,Sampling ocean,Sampling regional sea,Sampling country,Sampling ecosystem,Isolation by,Sampling by,Deposit to rcc by,RCC medium,RCC temperature,RCC transfer period weeks,RCC light,Remark,Sampling date,Clonal,Axenic,Pure,Heterotrophic,Toxic,Symbiotic,Transformed,STRAIN ID,Latitude,Longitude,Sampling site,Sampling station,Isolation method,Identification method,Isolation medium,Purification by,Purification method,Sampling depth (m),Contaminant type,Sampling cruise,Sampling temperature,Identification by,Cell assemblage,Date entered catalog,Host type,Host genus,Sampling substrate,Isolation growth temperature,Clade,Deposit to RCC date,Sampling water type
RCC911,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,,France,pelagic,"Vaulot D., Marie D.",Vaulot D. / Marie D.,,K/2,17.00,16.00,25,,"Friday, October 29, 2004",No,No,Yes,No,No,No,No,RCC911,-8.33,-141.25,Marquesas islands,MAR4,Filtration < 3um followed by Cell sorting,sequence,K/100,Le Gall F.,Serial dilutions,10,,Biosope,27.78,,,,,,,,,,
RCC914,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,,France,pelagic,"Vaulot D., Marie D.",Vaulot D. / Marie D.,,K/2,17.00,16.00,25,,"Friday, October 29, 2004",No,No,Yes,No,No,No,No,RCC914,-8.33,-141.25,Marquesas islands,MAR4,Filtration < 3um followed by Cell sorting,sequence,K/100,Le Gall F.Aude Houdan,Pipette isolation,10,,Biosope,27.78,,,,,,,,,,
RCC921,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,,France,pelagic,"Vaulot D., Marie D.",Vaulot D. / Marie D.,,K/2,17.00,16.00,25,Morphotype A. Mitochondrial genotype Alpha.,"Friday, October 29, 2004",No,No,Yes,No,No,No,No,RCC921,-8.33,-141.25,Marquesas islands,MAR4,Filtration < 3um followed by Cell sorting,sequence,K/100,A. Houdan,Pipette isolation,10,,Biosope,27.78,,,,,,,,,,
RCC948,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,round,,Pacific Ocean,South East Pacific,Chile,pelagic,"Garczarek L., Marie D.",Garczarek L. / Marie D.,,K/2,17.00,16.00,25,Morphotype A. Mitochondrial genotype Alpha.,"Saturday, December 4, 2004",No,No,Yes,No,No,No,No,RCC948,-33.35,-78.1,,STB20,Filtration < 0.6 um followed by Serial dilution,sequence,Add Fe and P,Le Gall F.,,40,,Biosope,,,,,,,,,,,
RCC955,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,round,,Pacific Ocean,,France,pelagic,"Vaulot D., Marie D.",Vaulot D. / Marie D.,,K/2,17.00,16.00,25,,"Friday, October 29, 2004",No,No,Yes,No,No,No,No,RCC955,-8.33,-141.25,Marquesas islands,MAR4,Filtration < 3um followed by Cell sorting,sequence,K/100,Aude Houdan,Pipette isolation,10,,Biosope,27.78,,,,,,,,,,
RCC956,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,round,,Pacific Ocean,,France,pelagic,"Vaulot D., Marie D.",Vaulot D. / Marie D.,,K/2,17.00,16.00,25,,"Friday, October 29, 2004",No,No,Yes,No,No,No,No,RCC956,-8.33,-141.25,Marquesas islands,MAR4,Filtration < 3um followed by Cell sorting,sequence,K/100,Aude Houdan,Pipette isolation,10,,Biosope,27.78,,,,,,,,,,
RCC958,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,coccoid,non-motile,Pacific Ocean,,France,pelagic,"Vaulot D., Marie D.",Vaulot D. / Marie D.,,K/2,17.00,16.00,25,,"Friday, October 29, 2004",No,No,Yes,No,No,No,No,RCC958,-8.33,-141.25,Marquesas islands,MAR4,Filtration < 3um followed by Cell sorting,sequence,K/100,Aude Houdan,Pipette isolation,10,,Biosope,27.78,,,,,,,,,,
RCC962,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,round,,Pacific Ocean,,France,pelagic,"Vaulot D., Marie D.",Vaulot D. / Marie D.,,K/2,17.00,16.00,25,,"Friday, October 29, 2004",No,No,Yes,No,No,No,No,RCC962,-8.33,-141.25,Marquesas islands,MAR4,Filtration < 3um followed by Cell sorting,sequence,K/100,Le Gall F.,Serial dilutions,10,,Biosope,27.78,,,,,,,,,,
RCC963,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,round,,Pacific Ocean,,France,pelagic,"Vaulot D., Marie D.",Vaulot D. / Marie D.,,K/2,17.00,16.00,25,,"Friday, October 29, 2004",No,No,Yes,No,No,No,No,RCC963,-8.33,-141.25,Marquesas islands,MAR4,Filtration < 3um followed by Cell sorting,sequence,K/100,Le Gall F.,Serial dilutions,10,,Biosope,27.78,,,,,,,,,,
RCC1208,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,Alboran Sea,,pelagic,Probert I.,,Caen_A,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Alpha.,"Friday, October 1, 1999",Yes,No,Yes,No,No,No,No,RCC1208,37.42,-0.88,,64,Micropipette (1 cell),,K/5 (ian),,,,,MTPII-MATER,,,,,,,,,,,
RCC1210,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,Baltic Sea,Finland,pelagic,M. Steinke,Steinke M.,Caen_A,K/2,17.00,16.00,25,Morphotype A. Mitochondrial genotype Beta.,"Friday, July 3, 1998",Yes,No,Yes,No,No,No,No,RCC1210,59.77,20.64,,44,,,,,,20,,NAE,,,,,,,,,,,
RCC1212,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,South Atlantic,South Africa,pelagic,Probert I.,Geisen M.,Caen_B,K/2,17.00,4.00,,Morphotype B/C. Mitochondrial genotype Alpha.,"Friday, September 1, 2000",Yes,No,Yes,No,No,No,No,RCC1212,-34.47,17.3,,,Micropipette (1 cell),,K/5 (ian),,,3,,,,,,,,,,,,,
RCC1213,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,Tyrrhenian Sea,Italy,pelagic,Probert I.,,Caen_A,K/2,17.00,16.00,25,Morphotype A. Mitochondrial genotype Alpha.,"Friday, December 1, 2000",Yes,No,Yes,No,No,No,No,RCC1213,40.8,14.25,Gulf of Naples,,Micropipette (1 cell),,K/5 (ian),,,,,,,,,,,,,,,,
RCC1214,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,Tyrrhenian Sea,Italy,pelagic,Probert I.,,Caen_A,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Alpha.,"Friday, December 1, 2000",Yes,No,Yes,No,No,No,No,RCC1214,40.8,14.25,Gulf of Naples,,Micropipette (1 cell),,K/5 (ian),,,,,,,,,,,,,,,,
RCC1215,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,Balearic Sea,Spain,pelagic,Probert I.,,Caen_B,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Alpha.,"Thursday, February 1, 2001",Yes,No,Yes,No,No,No,No,RCC1215,41.67,2.8,Spanish coast,Blanès,Micropipette (1 cell),,K/5 (ian),,,,,,,,,,,,,,,,
RCC1216,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Pacific Ocean,Tasman Sea,New Zealand,pelagic,Probert I.,Probert I.,Caen_B,K/2,17.00,4.00,,Transcriptome sequence done by Genoscope  (2012) Morphotype R. Mitochondrial genotype Alpha..,"Tuesday, September 1, 1998",Yes,No,Yes,No,No,No,No,RCC1216,-42.3,169.83,,,Micropipette (1 cell),,K/5 (ian),,,,,TASQWA,,,,,,,,,,,
RCC1217,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Pacific Ocean,Tasman Sea,New Zealand,pelagic,Probert I.,Probert I.,I. Probert,K/2,17.00,4.00,,Transcriptome sequence done by Genoscope (2012). Haploid stage of RCC1216 (no coccoliths). Mitochondrial genotype Alpha.,"Tuesday, September 1, 1998",Yes,No,Yes,No,No,No,No,RCC1217,-42.3,169.83,,,Micropipette (1 cell),,K/5 (ian),,,,,TASQWA,,,,,,,,,,,
RCC1218,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Pacific Ocean,Tasman Sea,New Zealand,pelagic,Probert I.,Probert I.,Caen_A,K/2,17.00,4.00,,Morphotype R. Mitochondrial genotype Alpha.,"Tuesday, September 1, 1998",Yes,No,Yes,No,No,No,No,RCC1218,-42.3,169.83,,,Micropipette (1 cell),,K/5 (ian),,,,,TASQWA,,,,,,,,,,,
RCC1219,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Pacific Ocean,Tasman Sea,New Zealand,pelagic,Probert I.,Probert I.,Caen_A,K/2,17.00,16.00,25,Morphotype R. Mitochondrial genotype Alpha.,"Tuesday, September 1, 1998",Yes,No,Yes,No,No,No,No,RCC1219,-42.3,169.83,,,Micropipette (1 cell),,K/5 (ian),,,,,TASQWA,,,,,,,,,,,
RCC1220,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Pacific Ocean,Tasman Sea,New Zealand,pelagic,Probert I.,Probert I.,Caen_A,K/2,17.00,4.00,,Morphotype R. Mitochondrial genotype Alpha.,"Tuesday, September 1, 1998",Yes,No,Yes,No,No,No,No,RCC1220,-42.3,169.83,,,Micropipette (1 cell),,K/5 (ian),,,,,TASQWA,,,,,,,,,,,
RCC1221,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,Alboran Sea,,pelagic,Probert I.,,Caen_A,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Alpha.,"Friday, October 1, 1999",Yes,No,Yes,No,No,No,No,RCC1221,37.23,-1.25,,57,Micropipette (1 cell),,K/5 (ian),,,,,MTPII-MATER,,,,,,,,,,,
RCC1222,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,Baltic Sea,Finland,pelagic,M. Steinke,,Caen_A,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Beta.,"Wednesday, July 1, 1998",Yes,No,Yes,No,No,No,No,RCC1222,59.77,20.64,,,,,,,,20,,NAE,,,,,,,,,,,
RCC1223,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,Alboran Sea,,pelagic,Probert I.,,Caen_A,K/2,17.00,16.00,25,,"Friday, October 1, 1999",Yes,No,Yes,No,No,No,No,RCC1223,37.17,-1.22,,56,Micropipette (1 cell),,K/5 (ian),,,,,MTPII-MATER,,,,,,,,,,,
RCC1225,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,North Sea,Norway,pelagic,M. Steinke,,Caen_A,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Beta.,"Wednesday, July 1, 1998",Yes,No,Yes,No,No,No,No,RCC1225,58.38,3.5,,,,,,,,15,,DISCO,,,,,,,,,,,
RCC1226,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,North Sea,Norway,pelagic,M. Steinke,,Caen_A,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Beta.,"Wednesday, July 1, 1998",Yes,No,Yes,No,No,No,No,RCC1226,58.38,3.5,,,,,,,,5,,DISCO,,,,,,,,,,,
RCC1227,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,North Sea,Norway,pelagic,M. Steinke,,Caen_A,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Beta.,"Wednesday, July 1, 1998",Yes,No,Yes,No,No,No,No,RCC1227,58.7,3.35,,,,,,,,28,,DISCO,,,,,,,,,,,
RCC1228,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,English Channel,France,estuarine,Probert I.,,Caen_B,K/2,17.00,16.00,25,Morphotype A. Mitochondrial genotype Alpha.,"Wednesday, July 7, 2004",Yes,No,Yes,No,No,No,No,RCC1228,49.4,-1.13,,Baie des Veys,Micropipette (1 cell),,K/5 (ian),,,,,,,,,,,,,,,,
RCC1229,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,North Sea,Norway,pelagic,M. Steinke,,Caen_A,K/2,17.00,4.00,,Transcriptome sequence done by GATC (2013). Morphotype A. Mitochondrial genotype Beta.,"Wednesday, July 1, 1998",Yes,No,Yes,No,No,No,No,RCC1229,58.7,3.35,,,,,,,,28,,DISCO,,,,,,,,,,,
RCC1231,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Pacific Ocean,Tasman Sea,,pelagic,Probert I.,,Caen_A,K/2,17.00,4.00,,Morphotype R. Mitochondrial genotype Alpha.,"Tuesday, September 1, 1998",Yes,No,Yes,No,No,No,No,RCC1231,-42.3,169.83,,,Micropipette (1 cell),,K/5 (ian),,,,,TASQWA,,,,,,,,,,,
RCC1232,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,Ligurian sea,France,pelagic,Probert I.,,Caen_A,K/2,17.00,4.00,,,,Yes,No,Yes,No,No,No,No,RCC1232,43.68,7.32,Villefranche-sur-Mer Bay,,Micropipette (1 cell),,K/5 (ian),,,,,,,,,,,,,,,,
RCC1233,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,Ligurian sea,France,pelagic,Probert I.,,Caen_A,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Alpha.,,Yes,No,Yes,No,No,No,No,RCC1233,43.68,7.32,Villefranche-sur-Mer Bay,,Micropipette (1 cell),,K/5 (ian),,,,,,,,,,,,,,,,
RCC1234,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,Ligurian sea,France,pelagic,Probert I.,,Caen_A,K/2,17.00,4.00,,,,Yes,No,Yes,No,No,No,No,RCC1234,43.68,7.32,Villefranche-sur-Mer Bay,,Micropipette (1 cell),,K/5 (ian),,,,,,,,,,,,,,,,
RCC1235,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,Ligurian sea,France,pelagic,Probert I.,,Caen_A,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Alpha.,,Yes,No,Yes,No,No,No,No,RCC1235,43.68,7.32,Villefranche-sur-Mer Bay,,Micropipette (1 cell),,K/5 (ian),,,,,,,,,,,,,,,,
RCC1236,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,Ligurian sea,France,pelagic,Probert I.,,Caen_A,K/2,17.00,4.00,,,,Yes,No,Yes,No,No,No,No,RCC1236,43.68,7.32,Villefranche-sur-Mer Bay,,Micropipette (1 cell),,K/5 (ian),,,,,,,,,,,,,,,,
RCC1237,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,Ligurian sea,France,pelagic,Probert I.,,Caen_A,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Alpha.,,Yes,No,Yes,No,No,No,No,RCC1237,43.68,7.32,Villefranche-sur-Mer Bay,,Micropipette (1 cell),,K/5 (ian),,,,,,,,,,,,,,,,
RCC1239,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Pacific Ocean,,Japan,pelagic,K. Hagino,,Caen_A,K/2,17.00,4.00,,Morphotype O. Mitochondrial genotype Beta.,"Monday, April 22, 2002",Yes,No,Yes,No,No,No,No,RCC1239,43.22,141.02,Japanese coast,,Micropipette (1 cell),,K/5 (ian),,,,,,,,,,,,,,,,
RCC1240,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Pacific Ocean,,Japan,pelagic,K. Hagino,,Caen_A,K/2,17.00,4.00,,Transcriptome sequence done by GATC (2013). Morphotype A. Mitochondrial genotype Alpha.,"Saturday, October 26, 2002",Yes,No,Yes,No,No,No,No,RCC1240,41.5,141.25,Japanese coast,Tsugura Strait,Micropipette (1 cell),,K/5 (ian),,,,,,,,,,,,,,,,
RCC1241,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Pacific Ocean,,Japan,pelagic,K. Hagino,,Caen_A,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Alpha.,"Saturday, October 26, 2002",Yes,No,Yes,No,No,No,No,RCC1241,41.5,141.25,Japanese coast,Tsugura Strait,Micropipette (1 cell),,K/5 (ian),,,,,,,,,,,,,,,,
RCC1242,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Pacific Ocean,South Pacific,Ecuador,pelagic,?,Polans L.,Caen_A,K/2,17.00,16.00,25,Non-calcifying (non-motile) version of CCMP1516. Mitochondrial genotype Alpha.,"Tuesday, May 7, 1991",No,No,Yes,No,No,No,No,RCC1242,-2.67,-82.72,,,,,,,,0,,,,,,,,,,,,,
RCC1243,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,,,pelagic,Probert I.,,Caen_A,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Alpha.,,Yes,No,Yes,No,No,No,No,RCC1243,,,,,Micropipette (1 cell),,K/5 (ian),,,,,,,,,,,,,,,,
RCC1245,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,French coast,France,pelagic,Probert I.,,Caen_A,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Alpha.,"Monday, February 1, 1999",Yes,No,Yes,No,No,No,No,RCC1245,45.0,-1.08,,Arcachon Bay,Micropipette (1 cell),,K/5 (ian),,,1,,,,,,,,,,,,,
RCC1246,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,Balearic Sea,Spain,pelagic,Probert I.,,Caen_A,K/2,17.00,4.00,,Morphotype A.,"Thursday, April 1, 1999",Yes,No,Yes,No,No,No,No,RCC1246,41.6,2.65,Spanish coast,Calella,Micropipette (1 cell),,K/5 (ian),,,1,,,,,,,,,,,,,
RCC1247,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,Balearic Sea,Spain,pelagic,Probert I.,,Caen_A,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Alpha.,"Saturday, May 1, 1999",Yes,No,Yes,No,No,No,No,RCC1247,41.47,2.32,Spanish coast,Masnou,Micropipette (1 cell),,K/5 (ian),,,0,,,,,,,,,,,,,
RCC1248,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,,Portugal,pelagic,Probert I.,,Caen_A,K/2,17.00,4.00,,,"Tuesday, June 1, 1999",Yes,No,Yes,No,No,No,No,RCC1248,38.73,-9.57,Portuguese coast,,Micropipette (1 cell),,K/5 (ian),,,,,,,,,,,,,,,,
RCC1249,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,Balearic Sea,Spain,pelagic,Probert I.,,Caen_A,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Alpha.,"Wednesday, April 1, 1998",Yes,No,Yes,No,No,No,No,RCC1249,41.47,2.32,Spanish coast,Masnou,Micropipette (1 cell),,K/5 (ian),,,1,,,,,,,,,,,,,
RCC1250,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Mediterranean Sea,Alboran Sea,,pelagic,Probert I.,,Caen_A,K/2,17.00,16.00,25,Morphotype A. Mitochondrial genotype Alpha.,"Friday, October 1, 1999",Yes,No,Yes,No,No,No,No,RCC1250,37.17,-1.22,,56,Micropipette (1 cell),,K/5 (ian),,,,,MTPII-MATER,,,,,,,,,,,
RCC1251,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Atlantic Ocean,,Portugal,pelagic,Probert I.,,Caen_A,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Alpha.,"Tuesday, June 1, 1999",Yes,No,Yes,No,No,No,No,RCC1251,38.73,-9.62,Portuguese coast,,Micropipette (1 cell),,K/5 (ian),,,,,,,,,,,,,,,,
RCC1252,Eukaryota,Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,spherical,non-motile,Pacific Ocean,,Japan,pelagic,K. Hagino,,Caen_A,K/2,17.00,4.00,,Morphotype A. Mitochondrial genotype Alpha.,"Saturday, October 26, 2002",Yes,No,Yes,No,No,No,No,RCC1252,41.5,141.25,Japanese coast,Tsugura Strait,Micropipette (1 cell),,K/5 (ian),,,,,,,,,,,,,,,,
